ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,Children_Bac_Count,Children_Shrink_bac_Count,Location_Center_X,Location_Center_Y,Location_Center_Z
1,43,nan,003,1,nan,0,001,001,0,001,A003,381.0,185.0,1.0,0,0,370.80866296760337,182.06873098263827,0
1,44,nan,003,1,nan,0,001,001,0,001,A003,585.0,187.0,1.0,0,0,584.7796867104598,189.89691763516927,0
1,45,nan,003,1,nan,0,001,001,0,001,A003,1344.0,190.0,1.0,0,0,1338.7527593818984,189.51434878587196,0
1,46,nan,003,1,nan,0,001,001,0,001,A003,643.0,210.0,1.0,0,0,646.8947078280044,215.30540242557882,0
1,47,nan,003,1,nan,0,001,001,0,001,A003,268.0,212.0,1.0,0,0,263.93233424159854,205.2241144414169,0
1,48,nan,003,1,nan,0,001,001,0,001,A003,135.0,215.0,1.0,0,0,131.53503863575807,214.8286703970157,0
1,49,nan,003,1,nan,0,001,001,0,001,A003,1163.0,217.0,1.0,2,2,1162.1767845230154,218.74583055370246,0
1,50,nan,003,1,nan,0,001,001,0,001,A003,1056.0,245.0,1.0,0,0,1057.1867724867725,243.16296296296295,0
1,51,nan,003,1,nan,0,001,001,0,001,A003,545.0,248.0,1.0,1,1,545.1785548865215,249.24895785085687,0
1,52,nan,003,1,nan,0,001,001,0,001,A003,1217.0,248.0,1.0,0,0,1217.5058119056005,245.9802747446284,0
1,53,nan,003,1,nan,0,001,001,0,001,A003,28.0,237.0,1.0,0,0,34.54906682721252,243.85942203491874,0
1,54,nan,003,1,nan,0,001,001,0,001,A003,974.0,258.0,1.0,0,0,974.4225743675285,258.4865165415624,0
1,55,nan,003,1,nan,0,001,001,0,001,A003,779.0,271.0,1.0,2,1,782.9430841924399,264.4890463917526,0
1,56,nan,003,1,nan,0,001,001,0,001,A003,220.0,271.0,1.0,0,0,214.37428111341154,266.5221992178514,0
1,57,nan,003,1,nan,0,001,001,0,001,A003,15.0,282.0,1.0,0,0,26.263259402121506,285.69045323047254,0
1,58,nan,003,1,nan,0,001,001,0,001,A003,1359.0,282.0,1.0,0,0,1349.3474212034384,270.4799426934097,0
1,59,nan,003,1,nan,0,001,001,0,001,A003,837.0,293.0,1.0,0,0,832.5022421524664,295.9156390134529,0
1,60,nan,003,1,nan,0,001,001,0,001,A003,436.0,301.0,1.0,1,0,436.5581087052585,295.6071586389748,0
1,61,nan,003,1,nan,0,001,001,0,001,A003,499.0,330.0,1.0,1,1,497.23555555555555,318.460202020202,0
1,62,nan,003,1,nan,0,001,001,0,001,A003,25.0,325.0,1.0,0,0,24.3271375464684,326.55985130111526,0
1,63,nan,003,1,nan,0,001,001,0,001,A003,1334.0,333.0,1.0,0,0,1333.89449003517,333.204572098476,0
1,64,nan,003,1,nan,0,001,001,0,001,A003,0.0,343.0,1.0,0,0,8.81081081081081,344.1023166023166,0
1,65,nan,003,1,nan,0,001,001,0,001,A003,1072.0,342.0,1.0,0,0,1076.83112055231,339.79739776951675,0
1,66,nan,003,1,nan,0,001,001,0,001,A003,1143.0,350.0,1.0,0,0,1145.5644943820225,348.88808988764043,0
1,67,nan,003,1,nan,0,001,001,0,001,A003,802.0,351.0,1.0,0,0,808.3451906659078,350.14541832669323,0
1,68,nan,003,1,nan,0,001,001,0,001,A003,1199.0,347.0,1.0,1,1,1193.6681974741675,355.4684270952928,0
1,69,nan,003,1,nan,0,001,001,0,001,A003,97.0,359.0,1.0,0,0,96.06817505209884,360.5194998511462,0
1,70,nan,003,1,nan,0,001,001,0,001,A003,429.0,368.0,1.0,0,0,424.85583353975727,366.1010651473867,0
1,71,nan,003,1,nan,0,001,001,0,001,A003,1236.0,365.0,1.0,0,0,1233.1214196762141,365.5473225404732,0
1,72,nan,003,1,nan,0,001,001,0,001,A003,0.0,371.0,1.0,0,0,7.8933333333333335,369.68444444444447,0
1,73,nan,003,1,nan,0,001,001,0,001,A003,614.0,372.0,1.0,0,0,614.1071729957806,371.64894514767934,0
1,74,nan,003,1,nan,0,001,001,0,001,A003,1003.0,360.0,1.0,0,0,1003.6441297396071,363.50159890360896,0
1,75,nan,003,1,nan,0,001,001,0,001,A003,872.0,385.0,1.0,0,0,872.1101694915254,381.9904661016949,0
1,76,nan,003,1,nan,0,001,001,0,001,A003,978.0,398.0,1.0,0,0,980.115806805708,397.05982436882545,0
1,77,nan,003,1,nan,0,001,001,0,001,A003,300.0,402.0,1.0,0,0,301.63957055214723,404.1878834355828,0
1,78,nan,003,1,nan,0,001,001,0,001,A003,1359.0,402.0,1.0,0,0,1354.6768149882903,399.89695550351286,0
1,79,nan,003,1,nan,0,001,001,0,001,A003,230.0,407.0,1.0,0,0,235.15223029045643,399.7186203319502,0
1,80,nan,003,1,nan,0,001,001,0,001,A003,1296.0,408.0,1.0,0,0,1292.6314907872697,406.484757118928,0
1,81,nan,003,1,nan,0,001,001,0,001,A003,775.0,407.0,1.0,0,0,766.6672012830794,414.2729216786955,0
1,82,nan,003,1,nan,0,001,001,0,001,A003,557.0,408.0,1.0,0,0,560.1071428571429,408.0448113207547,0
1,83,nan,003,1,nan,0,001,001,0,001,A003,489.0,414.0,1.0,2,2,485.8301185219614,412.0325354403904,0
1,84,nan,003,1,nan,0,001,001,0,001,A003,1035.0,414.0,1.0,0,0,1049.368191721133,404.36788048552756,0
1,85,nan,003,1,nan,0,001,001,0,001,A003,141.0,414.0,1.0,0,0,138.8537634408602,415.7032258064516,0
1,86,nan,003,1,nan,0,001,001,0,001,A003,1221.0,419.0,1.0,0,0,1220.1124845488257,419.0679851668727,0
1,87,nan,003,1,nan,0,001,001,0,001,A003,847.0,433.0,1.0,0,0,849.5991778006166,431.87461459403903,0
1,88,nan,003,1,nan,0,001,001,0,001,A003,1197.0,445.0,1.0,0,0,1195.0912106135986,441.1782752902156,0
1,89,nan,003,1,nan,0,001,001,0,001,A003,575.0,440.0,1.0,0,0,578.013201320132,436.9026402640264,0
1,90,nan,003,1,nan,0,001,001,0,001,A003,685.0,439.0,1.0,0,0,684.5449189985272,442.0235640648012,0
1,91,nan,003,1,nan,0,001,001,0,001,A003,906.0,431.0,1.0,0,0,901.5771561771562,434.120979020979,0
1,92,nan,003,1,nan,0,001,001,0,001,A003,609.0,455.0,1.0,1,1,608.7721382289417,449.4802015838733,0
1,93,nan,003,1,nan,0,001,001,0,001,A003,726.0,454.0,1.0,0,0,723.7433751743375,453.5788005578801,0
1,94,nan,003,1,nan,0,001,001,0,001,A003,1329.0,454.0,1.0,0,0,1331.888695652174,456.2895652173913,0
1,95,nan,003,1,nan,0,001,001,0,001,A003,949.0,457.0,1.0,0,0,951.1399932042134,461.5963302752294,0
1,96,nan,003,1,nan,0,001,001,0,001,A003,194.0,468.0,1.0,0,0,193.1570487483531,474.8057971014493,0
1,97,nan,003,1,nan,0,001,001,0,001,A003,270.0,462.0,1.0,0,0,271.22035360069,465.4915912031048,0
1,98,nan,003,1,nan,0,001,001,0,001,A003,312.0,481.0,1.0,0,0,310.540589569161,484.26984126984127,0
1,99,nan,003,1,nan,0,001,001,0,001,A003,1224.0,488.0,1.0,0,0,1224.982924226254,491.1320704375667,0
1,100,nan,003,1,nan,0,001,001,0,001,A003,30.0,498.0,1.0,1,0,29.661205766710353,498.54128440366975,0
1,101,nan,003,1,nan,0,001,001,0,001,A003,544.0,493.0,1.0,2,1,548.6140912730184,499.9111289031225,0
1,102,nan,003,1,nan,0,001,001,0,001,A003,0.0,510.0,1.0,0,0,7.195710455764075,510.5093833780161,0
1,103,nan,003,1,nan,0,001,001,0,001,A003,56.0,529.0,1.0,0,0,56.50283768444949,529.0590238365494,0
1,104,nan,003,1,nan,0,001,001,0,001,A003,1156.0,528.0,1.0,0,0,1151.5602013162988,527.4819976771196,0
1,105,nan,003,1,nan,0,001,001,0,001,A003,518.0,539.0,1.0,0,0,524.7723424270931,541.4681718407024,0
1,106,nan,003,1,nan,0,001,001,0,001,A003,831.0,545.0,1.0,0,0,830.0210451643414,547.7124615748404,0
1,107,nan,003,1,nan,0,001,001,0,001,A003,0.0,548.0,1.0,0,0,11.72583201267829,549.6378763866878,0
1,108,nan,003,1,nan,0,001,001,0,001,A003,257.0,547.0,1.0,1,0,262.930051035725,543.542179525668,0
1,109,nan,003,1,nan,0,001,001,0,001,A003,708.0,571.0,1.0,0,0,707.2255447380621,573.2547519703292,0
1,110,nan,003,1,nan,0,001,001,0,001,A003,1186.0,572.0,1.0,0,0,1174.8736643620364,575.9472030169704,0
1,111,nan,003,1,nan,0,001,001,0,001,A003,487.0,581.0,1.0,0,0,491.11733966745845,585.4118764845606,0
1,112,nan,003,1,nan,0,001,001,0,001,A003,551.0,591.0,1.0,1,0,551.4933616569305,592.5310674455656,0
1,113,nan,003,1,nan,0,001,001,0,001,A003,290.0,595.0,1.0,0,0,295.7379772661032,589.2395802972894,0
1,114,nan,003,1,nan,0,001,001,0,001,A003,1021.0,608.0,1.0,0,0,1025.6273084479371,592.0033398821218,0
1,115,nan,003,1,nan,0,001,001,0,001,A003,1354.0,619.0,1.0,0,0,1345.3650075414782,622.3725490196078,0
1,116,nan,003,1,nan,0,001,001,0,001,A003,1253.0,635.0,1.0,0,0,1261.2235192390835,635.2148724600087,0
1,117,nan,003,1,nan,0,001,001,0,001,A003,1094.0,637.0,1.0,0,0,1100.730804248862,645.2406676783005,0
1,118,nan,003,1,nan,0,001,001,0,001,A003,1176.0,640.0,1.0,0,0,1176.2329020332718,637.6695009242144,0
1,119,nan,003,1,nan,0,001,001,0,001,A003,642.0,648.0,1.0,2,0,647.5696271929825,655.2952302631579,0
1,120,nan,003,1,nan,0,001,001,0,001,A003,197.0,650.0,1.0,3,3,197.86316899551807,648.9612443975744,0
1,121,nan,003,1,nan,0,001,001,0,001,A003,1334.0,657.0,1.0,0,0,1333.8212851405622,656.3212851405623,0
1,122,nan,003,1,nan,0,001,001,0,001,A003,1303.0,675.0,1.0,0,0,1304.8905,679.3875,0
1,123,nan,003,1,nan,0,001,001,0,001,A003,1359.0,674.0,1.0,0,0,1351.8997613365154,673.2696897374701,0
1,124,nan,003,1,nan,0,001,001,0,001,A003,1222.0,670.0,1.0,0,0,1217.0814682184423,670.3451208594449,0
1,125,nan,003,1,nan,0,001,001,0,001,A003,299.0,673.0,1.0,1,1,300.83177834322873,678.8818207520497,0
1,126,nan,003,1,nan,0,001,001,0,001,A003,876.0,675.0,1.0,2,1,871.2583816486009,676.8316107890093,0
1,127,nan,003,1,nan,0,001,001,0,001,A003,384.0,694.0,1.0,0,0,384.51937984496124,684.8744616709733,0
1,128,nan,003,1,nan,0,001,001,0,001,A003,1184.0,703.0,1.0,0,0,1183.7471857410883,700.7340525328331,0
1,129,nan,003,1,nan,0,001,001,0,001,A003,765.0,701.0,1.0,1,1,762.7889739663093,703.1972434915773,0
1,130,nan,003,1,nan,0,001,001,0,001,A003,541.0,713.0,1.0,0,0,532.6694720734506,706.0009563886764,0
1,131,nan,003,1,nan,0,001,001,0,001,A003,610.0,713.0,1.0,0,0,609.691745799854,710.3809349890431,0
1,132,nan,003,1,nan,0,001,001,0,001,A003,1090.0,707.0,1.0,0,0,1083.1229347521703,713.8857462895547,0
1,133,nan,003,1,nan,0,001,001,0,001,A003,93.0,720.0,1.0,0,0,97.32,719.8017834394905,0
1,134,nan,003,1,nan,0,001,001,0,001,A003,283.0,745.0,1.0,0,0,284.76663146779305,746.2354804646251,0
1,135,nan,003,1,nan,0,001,001,0,001,A003,1127.0,742.0,1.0,0,0,1120.266647613604,748.6413260931695,0
1,136,nan,003,1,nan,0,001,001,0,001,A003,468.0,749.0,1.0,0,0,465.23063191717245,748.4948232774009,0
1,137,nan,003,1,nan,0,001,001,0,001,A003,1015.0,759.0,1.0,1,0,1016.0080567193039,763.673541733806,0
1,138,nan,003,1,nan,0,001,001,0,001,A003,927.0,763.0,1.0,0,0,933.070987654321,759.540684624018,0
1,139,nan,003,1,nan,0,001,001,0,001,A003,37.0,790.0,1.0,0,0,29.349143610013176,786.7395696091348,0
1,140,nan,003,1,nan,0,001,001,0,001,A003,258.0,793.0,1.0,0,0,260.3905987688864,792.6843872411863,0
1,141,nan,003,1,nan,0,001,001,0,001,A003,499.0,802.0,1.0,0,0,495.50858450972913,802.9626096909576,0
1,142,nan,003,1,nan,0,001,001,0,001,A003,811.0,803.0,1.0,1,1,804.5941203281677,803.4733363719234,0
1,143,nan,003,1,nan,0,001,001,0,001,A003,108.0,811.0,1.0,0,0,110.05663603334045,809.1331481085703,0
1,144,nan,003,1,nan,0,001,001,0,001,A003,1159.0,817.0,1.0,1,0,1156.4745411486088,825.0870337477797,0
1,145,nan,003,1,nan,0,001,001,0,001,A003,1252.0,816.0,1.0,0,0,1261.988039030532,808.9080893925086,0
1,146,nan,003,1,nan,0,001,001,0,001,A003,177.0,823.0,1.0,0,0,185.8763320246775,812.921200224341,0
1,147,nan,003,1,nan,0,001,001,0,001,A003,631.0,827.0,1.0,0,0,625.9017788089714,825.877030162413,0
