ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,Children_Bac_Count,Children_Shrink_bac_Count,Location_Center_X,Location_Center_Y,Location_Center_Z
1,43,nan,003,1,nan,0,001,001,0,001,A003,376.0,187.0,1.0,0,0,370.22259910960355,182.77909688361245,0
1,44,nan,003,1,nan,0,001,001,0,001,A003,584.0,182.0,1.0,0,0,584.1090606816292,182.09260182876142,0
1,45,nan,003,1,nan,0,001,001,0,001,A003,1333.0,191.0,1.0,0,0,1309.6568726101832,193.77138257194608,0
1,46,nan,003,1,nan,0,001,001,0,001,A003,662.0,228.0,1.0,0,0,657.5478889027277,224.47291069871716,0
1,47,nan,003,1,nan,0,001,001,0,001,A003,275.0,210.0,1.0,0,0,273.282058094226,208.0867871059157,0
1,48,nan,003,1,nan,0,001,001,0,001,A003,118.0,208.0,1.0,0,0,111.38169058342935,204.14025348276945,0
1,49,nan,003,1,nan,0,001,001,0,001,A003,1157.0,232.0,1.0,3,3,1164.9332597033765,232.83527926790785,0
1,50,nan,003,1,nan,0,001,001,0,001,A003,1055.0,238.0,1.0,0,0,1057.6460239268122,237.3556181093127,0
1,51,nan,003,1,nan,0,001,001,0,001,A003,567.0,265.0,1.0,2,2,561.7563586459287,255.79277218664228,0
1,52,nan,003,1,nan,0,001,001,0,001,A003,1226.0,243.0,1.0,0,0,1229.1632112236944,237.34014029618083,0
1,53,nan,003,1,nan,0,001,001,0,001,A003,22.0,234.0,1.0,0,0,33.943982387475536,239.1100782778865,0
1,54,nan,003,1,nan,0,001,001,0,001,A003,981.0,260.0,1.0,0,0,981.5442415730337,255.73033707865167,0
1,55,nan,003,1,nan,0,001,001,0,001,A003,778.0,257.0,1.0,3,3,779.3583333333333,252.72347670250895,0
1,56,nan,003,1,nan,0,001,001,0,001,A003,219.0,274.0,1.0,0,0,213.9620596205962,264.4006000774294,0
1,57,nan,003,1,nan,0,001,001,0,001,A003,0.0,284.0,1.0,0,0,63.21872427983539,286.77551440329216,0
1,58,nan,003,1,nan,0,001,001,0,001,A003,1359.0,271.0,1.0,0,0,1339.0709599027946,266.4838396111786,0
1,59,nan,003,1,nan,0,001,001,0,001,A003,847.0,290.0,1.0,0,0,832.0021757148777,298.081744716121,0
1,60,nan,003,1,nan,0,001,001,0,001,A003,430.0,289.0,1.0,1,1,428.2845662476818,290.0092726148774,0
1,61,nan,003,1,nan,0,001,001,0,001,A003,502.0,314.0,1.0,1,1,504.7954585152838,309.5692576419214,0
1,62,nan,003,1,nan,0,001,001,0,001,A003,32.0,329.0,1.0,0,0,31.68989898989899,328.619696969697,0
1,63,nan,003,1,nan,0,001,001,0,001,A003,1333.0,335.0,1.0,0,0,1313.1057151317739,321.92567367485935,0
1,64,nan,003,1,nan,0,001,001,0,001,A003,0.0,343.0,1.0,0,0,23.2248,355.1632,0
1,65,nan,003,1,nan,0,001,001,0,001,A003,1084.0,325.0,1.0,0,0,1075.4574044585988,325.646364118896,0
1,66,nan,003,1,nan,0,001,001,0,001,A003,1144.0,345.0,1.0,0,0,1144.0607811416685,338.120637855327,0
1,67,nan,003,1,nan,0,001,001,0,001,A003,810.0,353.0,1.0,0,0,835.1285258116019,345.7384246939862,0
1,68,nan,003,1,nan,0,001,001,0,001,A003,1204.0,338.0,1.0,1,1,1185.7158862876254,361.8660535117057,0
1,69,nan,003,1,nan,0,001,001,0,001,A003,91.0,368.0,1.0,0,0,85.68605870020964,378.98794549266245,0
1,70,nan,003,1,nan,0,001,001,0,001,A003,409.0,368.0,1.0,0,0,403.9378010919602,363.19644577668345,0
1,71,nan,003,1,nan,0,001,001,0,001,A003,1233.0,374.0,1.0,0,0,1243.5051759834369,361.23957409050576,0
1,72,nan,003,1,nan,0,001,001,0,001,A003,0.0,383.0,1.0,0,0,11.172701949860723,381.4020427112349,0
1,73,nan,003,1,nan,0,001,001,0,001,A003,616.0,373.0,1.0,0,0,627.893583100837,381.4017536867278,0
1,74,nan,003,1,nan,0,001,001,0,001,A003,992.0,341.0,1.0,0,0,995.1637223974764,340.5788643533123,0
1,75,nan,003,1,nan,0,001,001,0,001,A003,867.0,388.0,1.0,0,0,870.4566929133858,382.0888638920135,0
1,76,nan,003,1,nan,0,001,001,0,001,A003,971.0,401.0,1.0,0,0,968.2479928635147,396.0405887600357,0
1,77,nan,003,1,nan,0,001,001,0,001,A003,305.0,406.0,1.0,0,0,308.8668775857873,394.48904843027503,0
1,78,nan,003,1,nan,0,001,001,0,001,A003,1359.0,387.0,1.0,0,0,1341.0762675756284,386.04175543246697,0
1,79,nan,003,1,nan,0,001,001,0,001,A003,226.0,403.0,1.0,0,0,236.33549005511622,382.8329738797029,0
1,80,nan,003,1,nan,0,001,001,0,001,A003,1292.0,407.0,1.0,0,0,1289.147648799737,394.56905623150277,0
1,81,nan,003,1,nan,0,001,001,0,001,A003,759.0,411.0,1.0,0,0,758.3522056757516,408.61899409946614,0
1,82,nan,003,1,nan,0,001,001,0,001,A003,562.0,400.0,1.0,0,0,561.4644589748998,407.400337481544,0
1,83,nan,003,1,nan,0,001,001,0,001,A003,486.0,409.0,1.0,4,3,473.15824238943134,409.4138426191844,0
1,84,nan,003,1,nan,0,001,001,0,001,A003,1069.0,409.0,1.0,0,0,1063.7483861051337,414.23009529664927,0
1,85,nan,003,1,nan,0,001,001,0,001,A003,134.0,418.0,1.0,0,0,127.26419919246298,432.064468371467,0
1,86,nan,003,1,nan,0,001,001,0,001,A003,1226.0,422.0,1.0,0,0,1227.4470217640321,428.5380870561283,0
1,87,nan,003,1,nan,0,001,001,0,001,A003,846.0,431.0,1.0,0,0,845.8852725793328,429.4959316517494,0
1,88,nan,003,1,nan,0,001,001,0,001,A003,1196.0,445.0,1.0,0,0,1188.9833045480714,436.9735175590098,0
1,89,nan,003,1,nan,0,001,001,0,001,A003,576.0,440.0,1.0,0,0,574.4065550906555,438.8967921896792,0
1,90,nan,003,1,nan,0,001,001,0,001,A003,679.0,453.0,1.0,0,0,693.5601911413343,459.93971696379344,0
1,91,nan,003,1,nan,0,001,001,0,001,A003,866.0,484.0,1.0,0,0,885.8821421461278,446.7451722078439,0
1,92,nan,003,1,nan,0,001,001,0,001,A003,618.0,459.0,1.0,2,2,621.5129928315412,459.261798088411,0
1,93,nan,003,1,nan,0,001,001,0,001,A003,725.0,459.0,1.0,0,0,727.4937655860349,460.7838736492103,0
1,94,nan,003,1,nan,0,001,001,0,001,A003,1344.0,476.0,1.0,0,0,1328.8042291950887,480.6219304229195,0
1,95,nan,003,1,nan,0,001,001,0,001,A003,950.0,477.0,1.0,0,0,946.3918781725888,479.53081943437275,0
1,96,nan,003,1,nan,0,001,001,0,001,A003,188.0,482.0,1.0,1,1,174.6159017153454,494.40484469170144,0
1,97,nan,003,1,nan,0,001,001,0,001,A003,263.0,463.0,1.0,0,0,265.8820449645827,463.7024946104096,0
1,98,nan,003,1,nan,0,001,001,0,001,A003,313.0,482.0,1.0,0,0,318.79862842892766,488.5081047381546,0
1,99,nan,003,1,nan,0,001,001,0,001,A003,1228.0,502.0,1.0,0,0,1217.8897075240009,499.0544764456352,0
1,100,nan,003,1,nan,0,001,001,0,001,A003,31.0,491.0,1.0,1,1,29.734582623509368,485.7618398637138,0
1,101,nan,003,1,nan,0,001,001,0,001,A003,595.0,520.0,1.0,3,2,566.5690553745928,505.73376764386535,0
1,102,nan,003,1,nan,0,001,001,0,001,A003,0.0,510.0,1.0,0,0,6.305220883534137,504.00401606425703,0
1,103,nan,003,1,nan,0,001,001,0,001,A003,67.0,530.0,1.0,1,1,66.22867972204675,528.3903979785218,0
