ImageNumber,Mean_Bac_AreaShape_Center_X,Mean_Bac_AreaShape_Center_Y,Mean_Bac_AreaShape_Center_Z,Mean_Bac_Children_ExtraBac_Count,Mean_Bac_Children_IntraBac_Count,Mean_Bac_Distance_Centroid_Cell,Mean_Bac_Distance_Minimum_Cell,Mean_Bac_Location_Center_X,Mean_Bac_Location_Center_Y,Mean_Bac_Location_Center_Z,Mean_Bac_Parent_Cell,Mean_Cell_AreaShape_Center_X,Mean_Cell_AreaShape_Center_Y,Mean_Cell_AreaShape_Center_Z,Mean_Cell_Children_Bac_Count,Mean_Cell_Children_Shrink_bac_Count,Mean_Cell_Location_Center_X,Mean_Cell_Location_Center_Y,Mean_Cell_Location_Center_Z,Mean_ExtraBac_Parent_Bac,Mean_IntraBac_Parent_Bac,Mean_Nucleus_AreaShape_Center_X,Mean_Nucleus_AreaShape_Center_Y,Mean_Nucleus_AreaShape_Center_Z,Mean_Nucleus_Children_Bac_Count,Mean_Nucleus_Children_Shrink_bac_Count,Mean_Nucleus_Location_Center_X,Mean_Nucleus_Location_Center_Y,Mean_Nucleus_Location_Center_Z,Median_Bac_AreaShape_Center_X,Median_Bac_AreaShape_Center_Y,Median_Bac_AreaShape_Center_Z,Median_Bac_Children_ExtraBac_Count,Median_Bac_Children_IntraBac_Count,Median_Bac_Distance_Centroid_Cell,Median_Bac_Distance_Minimum_Cell,Median_Bac_Location_Center_X,Median_Bac_Location_Center_Y,Median_Bac_Location_Center_Z,Median_Bac_Parent_Cell,Median_Cell_AreaShape_Center_X,Median_Cell_AreaShape_Center_Y,Median_Cell_AreaShape_Center_Z,Median_Cell_Children_Bac_Count,Median_Cell_Children_Shrink_bac_Count,Median_Cell_Location_Center_X,Median_Cell_Location_Center_Y,Median_Cell_Location_Center_Z,Median_ExtraBac_Parent_Bac,Median_IntraBac_Parent_Bac,Median_Nucleus_AreaShape_Center_X,Median_Nucleus_AreaShape_Center_Y,Median_Nucleus_AreaShape_Center_Z,Median_Nucleus_Children_Bac_Count,Median_Nucleus_Children_Shrink_bac_Count,Median_Nucleus_Location_Center_X,Median_Nucleus_Location_Center_Y,Median_Nucleus_Location_Center_Z,StDev_Bac_AreaShape_Center_X,StDev_Bac_AreaShape_Center_Y,StDev_Bac_AreaShape_Center_Z,StDev_Bac_Children_ExtraBac_Count,StDev_Bac_Children_IntraBac_Count,StDev_Bac_Distance_Centroid_Cell,StDev_Bac_Distance_Minimum_Cell,StDev_Bac_Location_Center_X,StDev_Bac_Location_Center_Y,StDev_Bac_Location_Center_Z,StDev_Bac_Parent_Cell,StDev_Cell_AreaShape_Center_X,StDev_Cell_AreaShape_Center_Y,StDev_Cell_AreaShape_Center_Z,StDev_Cell_Children_Bac_Count,StDev_Cell_Children_Shrink_bac_Count,StDev_Cell_Location_Center_X,StDev_Cell_Location_Center_Y,StDev_Cell_Location_Center_Z,StDev_ExtraBac_Parent_Bac,StDev_IntraBac_Parent_Bac,StDev_Nucleus_AreaShape_Center_X,StDev_Nucleus_AreaShape_Center_Y,StDev_Nucleus_AreaShape_Center_Z,StDev_Nucleus_Children_Bac_Count,StDev_Nucleus_Children_Shrink_bac_Count,StDev_Nucleus_Location_Center_X,StDev_Nucleus_Location_Center_Y,StDev_Nucleus_Location_Center_Z
11,623.3076923076923,619.0512820512821,1.0,0.0,1.0,30.397561033878574,13.325548557422426,622.7982650002012,618.6657137680966,0.0,88.6923076923077,637.2430555555555,509.5625,1.0,0.2708333333333333,0.2638888888888889,637.2040363246847,509.6466416475258,0.0,nan,20.0,635.6527777777778,508.2291666666667,1.0,0.1875,0.1527777777777778,636.2092523070512,508.5846648059796,0.0,592.0,564.0,1.0,0.0,1.0,26.81019751093716,12.020815280171307,591.5426356589147,563.6666666666666,0.0,86.0,593.0,489.0,1.0,0.0,0.0,587.7219588369169,494.33315915567346,0.0,nan,20.0,592.0,486.5,1.0,0.0,0.0,589.3247032200666,494.1390078203816,0.0,299.4977979325882,182.26719590613266,0.0,0.0,0.0,18.03561861763142,9.147733716943948,299.6958330033485,182.56462071487184,0.0,23.844747683933534,395.43807013600224,296.510626536901,0.0,0.7924886084004265,0.7904474041740109,392.9855212982132,293.73442437586954,0.0,nan,11.254628677422755,394.4441116489206,295.39332815074243,0.0,0.7067998105703073,0.6489247992346482,393.6714990946331,294.5920739705454,0.0
12,728.1012658227849,460.5822784810127,1.0,0.0,1.0,23.708545577924667,18.444536193801248,727.96441280795,460.59063951508347,0.0,63.0126582278481,689.6846153846154,482.7846153846154,1.0,0.6076923076923076,0.6076923076923076,689.9110235106016,482.33895548625753,0.0,nan,40.0,689.623076923077,480.87692307692305,1.0,0.2692307692307692,0.15384615384615385,689.708338654024,480.59029332308666,0.0,787.0,416.0,1.0,0.0,1.0,20.76652120697491,18.277984587222644,787.5449735449736,416.31111111111113,0.0,62.0,709.0,477.0,1.0,0.0,0.0,706.8556049069489,469.44027896182524,0.0,nan,40.0,708.0,473.5,1.0,0.0,0.0,708.329859612484,475.5990427497452,0.0,327.69372837857435,279.7259783736344,0.0,0.0,0.0,14.694754320457037,9.46255230691788,327.7197131002723,279.74369713554313,0.0,36.246865834265485,427.42637754922436,290.1466203521508,0.0,1.0414202864443114,1.0414202864443114,425.5841773850694,288.32770545077574,0.0,nan,22.80350850198276,428.4310063006217,290.31680349324006,0.0,0.6993234262041204,0.532938710021193,426.7969565112326,289.10470978852203,0.0
13,625.7962962962963,577.3518518518518,1.0,0.05555555555555555,0.9444444444444444,32.00757392220547,13.100247791153311,625.9347262649843,577.4094201327348,0.0,83.88888888888889,698.951724137931,459.88275862068963,1.0,0.35172413793103446,0.33793103448275863,699.5824038769065,461.9628220517403,0.0,43.333333333333336,26.568627450980394,698.7793103448275,459.6275862068965,1.0,0.23448275862068965,0.15862068965517243,698.7162949401418,460.10035564809994,0.0,659.0,572.5,1.0,0.0,1.0,27.77760346213214,13.09636699268394,659.02770335441,572.5160730257273,0.0,96.0,747.0,429.0,1.0,0.0,0.0,733.4568240029272,432.8354561996361,0.0,39.0,26.0,741.0,425.0,1.0,0.0,0.0,740.4527777777778,425.9021113243762,0.0,368.48400033760095,248.93172925503887,0.0,0.2290614236454256,0.2290614236454256,17.816099599640264,9.582641226194765,368.27605093932715,248.970241676469,0.0,38.29257091988367,396.9519614996337,295.82880658614556,0.0,0.8011288112257485,0.7260729483173437,394.9457806345871,291.81547208628285,0.0,6.847546194724712,15.454239727889869,394.74140761045453,294.61366742244775,0.0,0.5873821889618644,0.4937661329563792,393.67028873411834,292.94651667206904,0.0
14,643.775,481.65,1.0,0.1,0.9,34.374770984383,16.32996132048412,643.761635892398,481.62526088068216,0.0,64.625,701.1077844311377,545.8502994011976,1.0,0.2155688622754491,0.19161676646706588,700.9308254473475,545.6881849899632,0.0,19.75,20.583333333333332,700.3532934131737,545.5329341317365,1.0,0.10778443113772455,0.0658682634730539,700.7139630870938,544.8823915819893,0.0,632.0,460.5,1.0,0.0,1.0,28.541795450396954,12.645864133832461,632.6180555555555,460.9665178571429,0.0,52.0,702.0,552.0,1.0,0.0,0.0,704.6889795918368,552.8085299455536,0.0,19.0,20.5,693.0,555.0,1.0,0.0,0.0,692.7457744049673,553.6770386266095,0.0,315.4892619012571,313.6241819439311,0.0,0.30000000000000004,0.3,23.1573911692794,14.24020413546785,315.5334354609801,313.6474608051585,0.0,52.04358149666489,405.4636590394731,286.9754444781701,0.0,0.5905418244761261,0.5573045882013379,402.0373950973867,283.5923968945866,0.0,17.311484627264065,10.709224995301948,404.2142681610359,285.5462206454917,0.0,0.37956704171833494,0.33080783992654217,402.64781786589066,284.0891515214278,0.0
15,634.2682926829268,489.5365853658537,1.0,0.024390243902439025,0.975609756097561,24.8389302815934,14.567788513986875,634.2799870467135,489.52601800760766,0.0,94.90243902439025,631.6634146341463,526.3365853658537,1.0,0.1951219512195122,0.18048780487804877,632.2947880864563,525.5177765263759,0.0,2.0,21.475,632.2146341463415,525.7268292682927,1.0,0.13658536585365855,0.08780487804878048,632.380108891672,525.639593982063,0.0,690.0,488.0,1.0,0.0,1.0,24.905490273003647,11.550083967060937,690.6,488.0,0.0,93.0,610.0,536.0,1.0,0.0,0.0,609.8202816901409,536.61872909699,0.0,2.0,21.5,611.0,536.0,1.0,0.0,0.0,615.9183070866142,536.5157745480326,0.0,375.61059391734244,281.9887644847882,0.0,0.1542574468374819,0.1542574468374819,11.40050191677491,11.299160316973431,375.471378682745,282.0771987402179,0.0,56.83300521577262,390.59355567479827,297.0565994817441,0.0,0.5141657792410287,0.5052019698487763,389.0957376258417,294.68891832527896,0.0,0.0,11.586603255484327,389.40823494679506,295.89784577426195,0.0,0.4315350352116385,0.3589925754726654,388.7584424619037,295.1702036370251,0.0
16,754.734375,541.4375,1.0,0.015625,0.984375,25.402194276981966,16.650188839677174,754.5838520047189,541.6160208955832,0.0,75.484375,704.8613138686131,481.02919708029196,1.0,0.45985401459854014,0.44525547445255476,704.7430573716126,482.8340543389204,0.0,29.0,32.55555555555556,704.6642335766423,480.2919708029197,1.0,0.26277372262773724,0.21897810218978103,704.5321658056255,480.5402574298583,0.0,747.0,600.0,1.0,0.0,1.0,20.19276400750935,17.94935188337564,746.7957990904013,599.8852040816327,0.0,83.0,729.0,460.0,1.0,0.0,0.0,728.9964111530321,465.9188570050639,0.0,29.0,33.0,734.0,466.0,1.0,0.0,0.0,728.7777161862527,458.77038269550746,0.0,320.3671839754493,253.62144988890432,0.0,0.12401959270615269,0.12401959270615269,17.618630403352793,10.855604323167983,320.43152250151735,253.50817813741915,0.0,32.01854549881014,378.74957893030006,328.2112756797014,0.0,1.0109950185798997,0.9659888321217274,376.86108510034916,322.92870365579626,0.0,0.0,18.613681414552822,377.73516921757323,327.28034725897516,0.0,0.7073139588540521,0.6360843774900539,376.1763281124696,324.8676049774254,0.0
17,611.948275862069,489.1034482758621,1.0,0.0,1.0,26.412985221274315,12.375497228073993,611.9902178965128,489.0542681790452,0.0,86.62068965517241,674.2445652173913,517.7717391304348,1.0,0.31521739130434784,0.30434782608695654,673.2898739445096,515.6769545946823,0.0,nan,29.5,673.7554347826087,516.2173913043479,1.0,0.21739130434782608,0.15760869565217392,673.5561883754076,516.4189397761538,0.0,619.0,443.0,1.0,0.0,1.0,24.49451860399754,11.084799940856056,618.8882978723404,443.70881410256413,0.0,81.0,686.5,509.5,1.0,0.0,0.0,683.464987779015,511.84025295720954,0.0,nan,29.5,686.0,511.0,1.0,0.0,0.0,685.0953203318585,514.1285915253698,0.0,318.8997476461082,325.1604213973186,0.0,0.0,0.0,14.124521908938359,8.7845477035191,318.9791383450661,325.1368910850075,0.0,57.16546690460009,399.3627804456066,300.2752578979345,0.0,0.6982796846238705,0.6550660510138854,398.12095787489983,298.9847315725736,0.0,nan,16.740669042783207,398.43399973443053,300.6401440581109,0.0,0.5865538070970452,0.5130331152232671,397.649676236112,299.4270940835523,0.0
18,662.1724137931035,549.1206896551724,1.0,0.05172413793103448,0.9482758620689655,27.365498716062326,15.757513538750569,662.24054131657,549.0585431130271,0.0,72.62068965517241,629.9868421052631,535.3421052631579,1.0,0.3618421052631579,0.35526315789473684,631.4432334966868,535.906153666828,0.0,36.0,29.145454545454545,629.9342105263158,534.8421052631579,1.0,0.25,0.20394736842105263,630.4122370081166,534.3096870125561,0.0,610.0,570.0,1.0,0.0,1.0,26.762699133087658,14.207617849543913,610.0260604422015,569.4227272727273,0.0,78.5,586.5,556.0,1.0,0.0,0.0,593.6362628507218,561.2796118847762,0.0,47.0,29.0,594.0,570.5,1.0,0.0,0.0,594.7011916172501,560.779499823258,0.0,391.8424708956673,265.4837534860497,0.0,0.2214695272183643,0.2214695272183643,15.90611574989419,9.815406076795957,391.7450602724693,265.5042340992245,0.0,40.19471040263833,364.0300737078077,307.8544620532472,0.0,0.8074435136285578,0.798088957058987,361.046296524054,306.0573591693472,0.0,22.992752481307377,16.256375735880237,360.85145418514617,307.7870526940569,0.0,0.6412364700532213,0.5886963271933753,360.5497719614248,306.37924230946214,0.0
19,676.6103896103896,531.2727272727273,1.0,0.012987012987012988,0.987012987012987,24.402658589025133,16.781265007396282,676.688235322513,531.4109307897257,0.0,85.01298701298701,666.0931677018633,497.0621118012422,1.0,0.4720496894409938,0.4720496894409938,664.8443355013404,496.45502556294133,0.0,59.0,38.73684210526316,664.7639751552795,495.14285714285717,1.0,0.3105590062111801,0.19254658385093168,664.9449785259274,495.47730779606206,0.0,682.0,576.0,1.0,0.0,1.0,20.76894170016636,12.875174169737342,682.3,576.1617647058823,0.0,95.0,663.0,470.0,1.0,0.0,0.0,654.8722400284901,465.5729483282675,0.0,59.0,38.5,663.0,465.0,1.0,0.0,0.0,661.151789759855,466.8527939949958,0.0,389.53972692537394,303.41046889127233,0.0,0.11321815437767983,0.11321815437767983,14.095982276012293,11.200393892823064,389.4873612930108,303.3440481294616,0.0,46.47733521277173,406.4363503031313,310.1759606689512,0.0,1.0096559391908622,1.0096559391908622,404.08372937422166,306.5700468666786,0.0,0.0,22.25236144834298,407.41262852584083,309.45714555242,0.0,0.7328666156483944,0.5629947425403558,405.58596241460236,307.72249095955686,0.0
20,694.5121951219512,506.8780487804878,1.0,0.012195121951219513,0.9878048780487805,24.953447535578693,15.241000092047022,694.3898044326894,506.96098312262933,0.0,80.9390243902439,613.7341772151899,500.0886075949367,1.0,0.5126582278481012,0.4936708860759494,613.4289338196039,500.4305799815853,0.0,11.0,41.876543209876544,613.8291139240506,499.3164556962025,1.0,0.35443037974683544,0.25316455696202533,613.9611229725194,499.4070173042663,0.0,593.5,548.5,1.0,0.0,1.0,23.73714908377999,14.831715333470916,593.6513761467891,548.9891395154552,0.0,84.0,583.5,486.5,1.0,0.0,0.0,579.424747754701,490.8041064499447,0.0,11.0,42.0,583.5,485.5,1.0,0.0,0.0,582.5642158394076,484.3995337170756,0.0,365.93699457368405,261.9116118941144,0.0,0.10975609756097561,0.10975609756097561,14.37073151068522,10.708110691361325,365.89038188213743,261.91651324831963,0.0,40.37215520778344,387.1901279230036,301.75690987121277,0.0,1.1998804886276235,1.2051935893816217,385.3676850252767,299.39414054284583,0.0,0.0,23.569902714617385,387.62354817754107,299.8966929428713,0.0,0.8935489571500301,0.7708018910196622,386.2950262010149,299.33891793565147,0.0
21,610.7428571428571,464.9428571428571,1.0,0.08571428571428572,0.9142857142857143,24.360894810551912,18.608178577911012,610.8095828024784,464.97412893610476,0.0,39.142857142857146,576.0933333333334,388.8666666666667,1.0,0.8533333333333334,0.8266666666666667,577.2257727990188,392.50561306458724,0.0,49.166666666666664,34.21875,579.24,389.3333333333333,1.0,0.5866666666666667,0.29333333333333333,578.8498147402529,390.09704049889086,0.0,483.0,474.0,1.0,0.0,1.0,21.940460891019626,15.141863291004983,482.7628001412429,474.07380952380953,0.0,45.0,479.0,340.0,1.0,0.0,0.0,488.76179194486326,341.92973042859916,0.0,56.5,33.5,476.0,335.0,1.0,0.0,0.0,477.35727788279775,336.3477088948787,0.0,439.830541579507,293.5522774427695,0.0,0.279941684889506,0.279941684889506,13.832428111513025,13.352824494892676,439.96285198704817,293.55065546872635,0.0,22.163861006013313,419.73474713866085,304.4322511751269,0.0,1.1511540103546336,1.1357621034158323,419.4054082959648,299.5307898248161,0.0,21.09831483528694,19.63770985724914,419.29292354311605,303.1093678672583,0.0,0.9394087975364552,0.7075466219424854,418.19325277488656,301.4917474973503,0.0
22,720.8604651162791,517.453488372093,1.0,0.023255813953488372,0.9767441860465116,29.022791847754984,15.442103747722657,720.8124017993199,517.4396050038763,0.0,60.883720930232556,842.3333333333334,484.5964912280702,1.0,0.7368421052631579,0.7105263157894737,839.9828635164815,484.54474639008043,0.0,39.0,43.607142857142854,843.2719298245614,480.5877192982456,1.0,0.4473684210526316,0.3333333333333333,841.7700990891307,481.9889097017187,0.0,670.5,532.5,1.0,0.0,1.0,26.946984337480544,14.568062494487059,670.1818181818182,532.5515151515151,0.0,63.0,912.5,461.0,1.0,0.0,0.0,907.5619088836969,463.0274390569059,0.0,39.0,44.5,895.0,458.0,1.0,0.0,0.0,895.9859033070786,456.89910185214933,0.0,322.1785278162252,259.21189397132866,0.0,0.1507148999629735,0.1507148999629735,12.999537532409484,9.894005959558903,322.1346167112035,259.14152175937375,0.0,29.769431256197503,387.96564929029444,294.3032425648412,0.0,1.263888677496693,1.247620079728828,384.85081938358724,291.08797702625395,0.0,3.0,25.10407757485532,387.1520687014142,291.5140997885011,0.0,0.9651116221522236,0.7798635358208024,385.8332279942726,291.5463851848288,0.0
23,693.9122807017544,467.0877192982456,1.0,0.0,1.0,27.954703573991598,11.02969544962729,694.0172275075761,466.96229553102535,0.0,90.6842105263158,670.4221105527638,517.6281407035176,1.0,0.2864321608040201,0.27638190954773867,670.9281363910485,517.2576118157838,0.0,nan,29.0,669.0150753768844,517.8793969849246,1.0,0.19095477386934673,0.11557788944723618,669.7769294653355,517.5224174431844,0.0,725.0,430.0,1.0,0.0,1.0,25.24968859908079,10.067368406905933,724.9318181818181,428.09774436090225,0.0,93.0,644.0,520.0,1.0,0.0,0.0,646.7455172413793,521.8983833718245,0.0,nan,29.0,641.0,526.0,1.0,0.0,0.0,644.8433242506812,521.7585301837271,0.0,356.0671768228404,280.59149808316147,0.0,0.0,0.0,11.536882521456176,8.395193930093503,355.99051694639263,280.6183691152242,0.0,54.32105917589205,400.7616400985005,302.8342041249639,0.0,0.6675288819308973,0.6566206884624918,398.4210270442757,300.421283079302,0.0,nan,16.451950239004088,400.46579007321486,302.4566674850615,0.0,0.5339890584436274,0.41541713940583685,398.8276489553326,300.8292285460186,0.0
24,577.3875,596.75,1.0,0.025,0.975,27.91952777126531,13.444486503276108,577.354177220093,596.6956496022676,0.0,111.5625,687.1197916666666,494.90625,1.0,0.40625,0.3958333333333333,687.4422949985446,495.3831026680238,0.0,45.0,40.38461538461539,686.4322916666666,493.84375,1.0,0.25,0.19270833333333334,686.887929027671,494.01328375027214,0.0,538.0,642.0,1.0,0.0,1.0,23.347487756888235,13.141620566897057,537.6595933263816,641.8569958847736,0.0,122.5,660.5,478.0,1.0,0.0,0.0,663.0747800429879,480.6992539615154,0.0,45.0,40.5,668.0,483.0,1.0,0.0,0.0,667.0049191278446,482.61025150172327,0.0,390.6251557999689,294.1766688573382,0.0,0.15612494995995996,0.15612494995995996,16.031318586733395,8.329187311996382,390.62133219395446,294.2757254702089,0.0,57.81064861900444,400.4504120674077,294.1979590813032,0.0,0.7155726873164832,0.7067998105703073,398.3991056775542,292.1966717428775,0.0,20.0,23.154570224643955,399.61965719366407,293.81620984770535,0.0,0.5303300858899106,0.47800470527379635,399.26588460675646,292.94857242139125,0.0
25,697.3584905660377,480.2641509433962,1.0,0.018867924528301886,0.9811320754716981,24.11469992964337,15.969879172513759,697.4286085320185,480.28675861780613,0.0,79.75471698113208,653.391061452514,527.1061452513967,1.0,0.2905027932960894,0.2905027932960894,653.7606542918307,526.0628710874453,0.0,32.0,26.903846153846153,654.9162011173185,525.7821229050279,1.0,0.2122905027932961,0.13966480446927373,655.1231117495114,525.4061476296644,0.0,573.0,458.0,1.0,0.0,1.0,21.789956353062905,17.248356468175963,572.6530612244898,457.6081081081081,0.0,71.0,625.0,552.0,1.0,0.0,0.0,625.9113351877608,550.0260370697264,0.0,32.0,26.5,625.0,544.0,1.0,0.0,0.0,630.2691231343283,544.9415963659961,0.0,360.60301144315554,297.336741374908,0.0,0.1360585386967543,0.1360585386967543,13.318826874896178,8.597038355855588,360.56104193630887,297.42044231563943,0.0,53.66946556799185,394.7387979149253,291.7574084427511,0.0,0.6381443714544642,0.6381443714544642,393.21440118635735,289.8175657397146,0.0,0.0,15.42757223956837,394.4419560149479,290.3427227668186,0.0,0.5386355661762658,0.41955270068197964,393.28110231022487,289.84491761070876,0.0
26,590.9019607843137,484.5686274509804,1.0,0.1568627450980392,0.8431372549019608,25.022799281744156,18.573100007505595,590.9005447128193,484.7012673530317,0.0,53.627450980392155,717.8333333333334,452.5,1.0,0.35833333333333334,0.3416666666666667,718.0098270271689,453.8179419849041,0.0,28.0,25.627906976744185,718.9833333333333,450.01666666666665,1.0,0.23333333333333334,0.15833333333333333,718.9709533278166,450.9442666029137,0.0,465.0,430.0,1.0,0.0,1.0,24.329418205677722,18.4154271335039,465.1372549019608,430.65671641791045,0.0,53.0,783.0,461.0,1.0,0.0,0.0,785.0156695979977,460.7876571858942,0.0,24.0,27.0,778.5,461.5,1.0,0.0,0.0,779.1330796066061,462.76006407176624,0.0,379.4094614106507,318.632202679501,0.0,0.3636713135488511,0.3636713135488511,16.613407631305783,11.650217696942155,379.4188588922233,318.7448567330441,0.0,39.466521322092795,439.76299172268796,324.59906038064867,0.0,0.6428560405634288,0.6257772944284749,437.0862803212364,321.12576159878836,0.0,12.083045973594572,15.130476338301609,441.01838554519344,326.1150099615506,0.0,0.5587684871413403,0.46540006684810675,439.3817101258362,325.13047466773,0.0
27,575.6901408450705,488.2112676056338,1.0,0.11267605633802817,0.8873239436619719,27.50261499714524,16.634518752739588,575.7487107903596,488.1410519017145,0.0,46.056338028169016,652.52,508.29,1.0,0.63,0.62,651.3865280602354,507.3148517564329,0.0,15.375,38.61904761904762,651.89,506.11,1.0,0.35,0.25,652.0359607884076,506.4912100219546,0.0,472.0,523.0,1.0,0.0,1.0,26.20937159504109,16.817521787677848,471.9019607843137,522.3965517241379,0.0,53.0,582.5,472.5,1.0,0.0,0.0,581.9066148818001,477.1439215472663,0.0,13.0,40.0,583.0,469.5,1.0,0.0,0.0,581.0793037304911,471.38894245715534,0.0,381.08690338420985,248.81431027937606,0.0,0.3161963988823049,0.3161963988823049,13.509608984813386,9.360197259310114,381.0553933725399,248.87310968574403,0.0,27.999943321845883,429.77690677838893,302.7222256458881,0.0,1.1283173312503891,1.1115754585272202,426.7767434768061,299.51420490277116,0.0,10.534912197071222,19.95902832783658,428.74502667669515,301.09084658953014,0.0,0.7123903424387503,0.5361902647381804,427.99954495166565,299.56020104759887,0.0
28,612.7246376811594,509.0144927536232,1.0,0.18840579710144928,0.8115942028985508,26.178846518316906,17.810393038683696,612.8334378997537,509.0520155260404,0.0,31.08695652173913,651.9186046511628,599.2209302325581,1.0,0.6511627906976745,0.627906976744186,651.044563213348,597.790163184844,0.0,23.692307692307693,37.625,650.7906976744187,597.7441860465116,1.0,0.37209302325581395,0.18604651162790697,650.7979231648015,597.4229993827173,0.0,590.0,562.0,1.0,0.0,1.0,25.334487939793746,16.352156509870476,590.0,562.3461538461538,0.0,32.0,596.5,674.5,1.0,0.0,0.0,595.2845456496084,672.1278588600328,0.0,18.0,39.5,588.0,676.0,1.0,0.0,0.0,590.8227688623737,674.6949821022425,0.0,379.651513893571,307.6155841566663,0.0,0.39103587139803025,0.39103587139803025,11.149134993294108,14.427006210017064,379.69177279831837,307.6786814217867,0.0,26.639699660161654,436.57091954618534,291.0026932330732,0.0,1.1285660984698538,1.121113562157577,433.5136298629156,288.06869076789366,0.0,19.4793169023518,19.081182297151894,436.24950499816174,292.6537038432534,0.0,0.7632018177405554,0.539414581615963,434.2187750815755,289.7208366435925,0.0
29,662.9848484848485,493.3484848484849,1.0,0.015151515151515152,0.9848484848484849,26.57014379391566,15.047480206632978,662.9922502272639,493.3682213724579,0.0,81.1969696969697,684.9467455621302,506.26627218934914,1.0,0.38461538461538464,0.38461538461538464,685.4042119897658,506.0865847653765,0.0,48.0,33.276923076923076,685.9585798816568,505.4437869822485,1.0,0.21301775147928995,0.1301775147928994,685.6859913909926,504.7854121884051,0.0,712.0,464.0,1.0,0.0,1.0,25.324417315684585,13.765349426204367,711.7845674967234,463.88043365494343,0.0,77.0,675.0,520.0,1.0,0.0,0.0,672.0196198651134,518.6165757906216,0.0,48.0,33.0,679.0,506.0,1.0,0.0,0.0,668.6743772241992,517.1913787319692,0.0,348.9441864037529,232.73547817368677,0.0,0.1221554204287659,0.1221554204287659,13.386818790045451,8.910898022340172,348.9749971726273,232.70907585090004,0.0,39.339324029013106,391.3427236342585,302.6821034127061,0.0,0.8702852691526739,0.8355984993230935,390.09832273886417,299.76213465249435,0.0,0.0,19.11061540876628,391.6736710024854,302.71452089323907,0.0,0.5564647548169821,0.415214314623641,390.8686932553442,301.1957086148966,0.0
30,646.1875,419.9166666666667,1.0,0.10416666666666667,0.8958333333333334,24.90903727236201,14.564241042517176,646.2099311038086,420.1688788855531,0.0,76.1875,677.9130434782609,504.01630434782606,1.0,0.23369565217391305,0.22826086956521738,678.3324243395531,504.01101210268524,0.0,9.8,26.209302325581394,678.0271739130435,504.0054347826087,1.0,0.13043478260869565,0.09239130434782608,678.0388213886165,503.7720581891919,0.0,691.0,418.5,1.0,0.0,1.0,23.035238454566755,12.59089313151007,690.693487394958,418.88392857142856,0.0,73.0,666.5,495.5,1.0,0.0,0.0,669.0941289595196,493.8025026843915,0.0,4.0,26.0,676.5,492.5,1.0,0.0,0.0,676.6310975743636,495.32088221380013,0.0,327.66393201533486,289.7749006652501,0.0,0.30547663122114954,0.30547663122114954,12.850433727258919,9.004368030881642,327.587951243892,289.66754136387755,0.0,52.44070312028625,399.82924758097926,306.9428051017542,0.0,0.5755483536353838,0.5730024066564001,397.3850381405156,304.4671140558813,0.0,13.673331708109767,12.823594060540495,399.13533490023946,304.90058068311043,0.0,0.3961058077888826,0.3249527375842771,398.27232803387574,303.87132366777143,0.0
31,645.2470588235294,510.5764705882353,1.0,0.011764705882352941,0.9882352941176471,24.719105846194687,19.47506402991639,645.3032168328332,510.4516784215028,0.0,70.96470588235294,657.0344827586207,520.5379310344828,1.0,0.5793103448275863,0.5724137931034483,657.1845286449052,519.4188307129085,0.0,13.0,43.357142857142854,657.6137931034483,519.255172413793,1.0,0.4,0.30344827586206896,657.6799166618331,518.5760829390113,0.0,679.0,491.0,1.0,0.0,1.0,22.488174572758886,19.71458573620539,679.1186440677966,491.258064516129,0.0,70.0,616.0,522.0,1.0,0.0,0.0,612.8584536082474,525.3055587791574,0.0,13.0,43.5,603.0,519.0,1.0,0.0,0.0,601.1279967492889,520.2613065326633,0.0,367.55410664945487,284.7684044135675,0.0,0.1078253104695492,0.1078253104695492,13.046946758479871,11.449450083216194,367.4788560316001,284.8314345331005,0.0,39.87877131236722,420.92930709272315,311.57278489202895,0.0,1.0870330738694605,1.0875142652173024,419.40427821944417,307.7162055430828,0.0,0.0,24.46067926145905,421.9630182554717,311.13039243046603,0.0,0.8897888164789635,0.781899878333797,420.8694126403409,309.27848676421723,0.0
32,699.922077922078,407.8961038961039,1.0,0.06493506493506493,0.935064935064935,26.626615696164535,15.891382612558017,699.8935204797245,407.90969775087365,0.0,41.97402597402598,765.7372262773723,599.7299270072992,1.0,0.5255474452554745,0.5109489051094891,765.3097664287221,597.9659640892725,0.0,18.4,40.43055555555556,767.2846715328467,599.0875912408759,1.0,0.3795620437956204,0.32116788321167883,766.8404472479465,598.4656097325548,0.0,702.0,410.0,1.0,0.0,1.0,20.913001363821596,16.377497491038856,701.1232876712329,410.1363636363636,0.0,40.0,829.0,636.0,1.0,0.0,0.0,824.021609106695,637.3317994671834,0.0,11.0,40.5,834.0,648.0,1.0,0.0,0.0,829.800909090909,652.0823244552058,0.0,354.0540631632908,234.80036197761785,0.0,0.24641124624688673,0.24641124624688673,22.4737907418649,10.449347858161383,354.0952489535272,234.7825772653352,0.0,30.017299785106182,395.50040870489266,297.9542536691778,0.0,1.0042267750026184,0.9599025826573403,393.0966659449009,292.79725005955515,0.0,15.91979899370592,21.890400222782137,396.25542799763997,296.8655591526006,0.0,0.755818180558642,0.7038404199665794,395.1568867069694,295.16289823042683,0.0
