ImageNumber,ObjectNumber,Metadata_Channel,Metadata_Column,Metadata_Field,Metadata_FileLocation,Metadata_Frame,Metadata_Plane,Metadata_Row,Metadata_Series,Metadata_Time,Metadata_Well,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,Children_ExtraBac_Count,Children_IntraBac_Count,Distance_Centroid_Cell,Distance_Minimum_Cell,Location_Center_X,Location_Center_Y,Location_Center_Z,Parent_Cell
1,34,nan,003,1,nan,0,001,001,0,001,A003,517.0,310.0,1.0,0,1,11.712464742593038,19.448650338776723,516.5,310.0,0,61
1,35,nan,003,1,nan,0,001,001,0,001,A003,1216.0,332.0,1.0,0,1,42.783415641691036,18.40476055422241,1216.1637931034484,331.8103448275862,0,68
1,36,nan,003,1,nan,0,001,001,0,001,A003,477.0,393.0,1.0,0,1,16.07255979517524,19.23891323002566,476.5121951219512,393.6951219512195,0,83
1,37,nan,003,1,nan,0,001,001,0,001,A003,517.0,420.0,1.0,0,1,45.3863625393086,4.612861145472129,517.418918918919,419.4594594594595,0,83
1,38,nan,003,1,nan,0,001,001,0,001,A003,392.0,455.0,1.0,0,1,92.2405201223679,8.917710665582637,393.0164609053498,455.082304526749,0,83
1,39,nan,003,1,nan,0,001,001,0,001,A003,403.0,461.0,1.0,0,1,89.1173488116322,1.154309250997668,401.29464285714283,462.11607142857144,0,83
1,40,nan,003,1,nan,0,001,001,0,001,A003,594.0,465.0,1.0,0,1,28.152651231236568,19.115749150092753,593.9629629629629,465.05555555555554,0,92
1,41,nan,003,1,nan,0,001,001,0,001,A003,22.0,472.0,1.0,0,1,15.66308552534492,8.501408778937364,22.210843373493976,472.0240963855422,0,100
1,42,nan,003,1,nan,0,001,001,0,001,A003,648.0,474.0,1.0,0,1,30.481886990790375,7.5991063266770364,647.8576642335767,474.5948905109489,0,92
1,43,nan,003,1,nan,0,001,001,0,001,A003,477.0,493.0,1.0,0,1,91.0489816700343,2.4397510846456307,476.36538461538464,493.3557692307692,0,101
1,44,nan,003,1,nan,0,001,001,0,001,A003,576.0,498.0,1.0,0,1,12.752836905401999,15.743452592891163,576.6493506493506,497.9220779220779,0,101
1,45,nan,003,1,nan,0,001,001,0,001,A003,68.0,499.0,1.0,0,1,29.590373221094858,5.224493090106903,67.84415584415585,498.84415584415586,0,103
1,46,nan,003,1,nan,0,001,001,0,001,A003,585.0,499.0,1.0,0,1,19.09417492895682,13.940524441130261,584.5172413793103,499.2183908045977,0,101
1,47,nan,003,1,nan,0,001,001,0,001,A003,168.0,500.0,1.0,0,1,8.687273203615494,24.512147546540568,168.21518987341773,500.27848101265823,0,96
